sample;Eukaryota-Subdivision_Prokaryota-Phylum;Class;Order;Taxa;Form;nb;percent;column;month_code;lakeID
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.660792952;W3;A;BLR
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;4;0.881057269;W3;A;BLR
BOI-A-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.643171806;W3;A;BLR
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;8;1.762114537;W3;A;BLR
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;10;2.202643172;W3;A;BLR
BOI-A-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;8;1.762114537;W3;A;BLR
BOI-A-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;377;83.03964758;W3;A;BLR
BOI-A-W3;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.54185022;W3;A;BLR
BOI-A-W3;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;2;0.440528634;W3;A;BLR
BOI-A-W3;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;19;4.185022026;W3;A;BLR
BOI-A-W3;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;1;0.220264317;W3;A;BLR
BOI-A-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.440528634;W3;A;BLR
BOI-A-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.220264317;W3;A;BLR
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.655021834;W1;B;BLR
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;4;0.873362445;W1;B;BLR
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;7;1.528384279;W1;B;BLR
BOI-B-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;60;13.10043668;W1;B;BLR
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;20;4.366812227;W1;B;BLR
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;9;1.965065502;W1;B;BLR
BOI-B-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;55;12.00873362;W1;B;BLR
BOI-B-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;1;0.218340611;W1;B;BLR
BOI-B-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;2;0.436681223;W1;B;BLR
BOI-B-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;245;53.49344978;W1;B;BLR
BOI-B-W1;Dinoflagellata;Dinophyceae;Peridiniales;Peridinium;;1;0.218340611;W1;B;BLR
BOI-B-W1;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;22;4.80349345;W1;B;BLR
BOI-B-W1;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;21;4.585152838;W1;B;BLR
BOI-B-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;1;0.218340611;W1;B;BLR
BOI-B-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;7;1.528384279;W1;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Coelastrum_microporum;;2;0.435729847;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;8;1.74291939;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.089324619;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;9;1.960784314;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;40;8.71459695;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Schroederia;;6;1.307189542;W2;B;BLR
BOI-B-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;60;13.07189542;W2;B;BLR
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;38;8.278867102;W2;B;BLR
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;10;2.178649237;W2;B;BLR
BOI-B-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;55;11.98257081;W2;B;BLR
BOI-B-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;1;0.217864924;W2;B;BLR
BOI-B-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;3;0.653594771;W2;B;BLR
BOI-B-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;105;22.87581699;W2;B;BLR
BOI-B-W2;Dinoflagellata;Dinophyceae;Peridiniales;Peridinium;;7;1.525054466;W2;B;BLR
BOI-B-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;60;13.07189542;W2;B;BLR
BOI-B-W2;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;30;6.535947712;W2;B;BLR
BOI-B-W2;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;10;2.178649237;W2;B;BLR
BOI-B-W2;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;5;1.089324619;W2;B;BLR
BOI-B-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;1;0.217864924;W2;B;BLR
BOI-B-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.871459695;W2;B;BLR
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.481927711;W3;B;BLR
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.204819277;W3;B;BLR
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;22;5.301204819;W3;B;BLR
BOI-B-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;29;6.987951807;W3;B;BLR
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;31;7.469879518;W3;B;BLR
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;22;5.301204819;W3;B;BLR
BOI-B-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;49;11.80722892;W3;B;BLR
BOI-B-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;207;49.87951807;W3;B;BLR
BOI-B-W3;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;6;1.445783133;W3;B;BLR
BOI-B-W3;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;24;5.78313253;W3;B;BLR
BOI-B-W3;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;15;3.614457831;W3;B;BLR
BOI-B-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.481927711;W3;B;BLR
BOI-B-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.240963855;W3;B;BLR
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.374531835;W1;C;BLR
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;0.936329588;W1;C;BLR
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;6;1.123595506;W1;C;BLR
BOI-C-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.247191011;W1;C;BLR
BOI-C-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;4;0.74906367;W1;C;BLR
BOI-C-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;7;1.310861423;W1;C;BLR
BOI-C-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;476;89.13857678;W1;C;BLR
BOI-C-W1;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;4;0.74906367;W1;C;BLR
BOI-C-W1;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;1;0.187265918;W1;C;BLR
BOI-C-W1;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;7;1.310861423;W1;C;BLR
BOI-C-W1;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;2;0.374531835;W1;C;BLR
BOI-C-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;4;0.74906367;W1;C;BLR
BOI-C-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.74906367;W1;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Chlamydomonadales;Phacotus;;4;0.6;W2;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.4;W2;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;6;0.9;W2;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;1;0.1;W2;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;10;1.5;W2;C;BLR
BOI-C-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;15;2.2;W2;C;BLR
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;3;0.4;W2;C;BLR
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;13;1.9;W2;C;BLR
BOI-C-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;20;3;W2;C;BLR
BOI-C-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;565;83.8;W2;C;BLR
BOI-C-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;4;0.6;W2;C;BLR
BOI-C-W2;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;4;0.6;W2;C;BLR
BOI-C-W2;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;20;3;W2;C;BLR
BOI-C-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;0.74;W2;C;BLR
BOI-C-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.15;W2;C;BLR
BOI-C-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.660792952;W3;C;BLR
BOI-C-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;4;0.881057269;W3;C;BLR
BOI-C-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.643171806;W3;C;BLR
BOI-C-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;8;1.762114537;W3;C;BLR
BOI-C-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;10;2.202643172;W3;C;BLR
BOI-C-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;8;1.762114537;W3;C;BLR
BOI-C-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;377;83.03964758;W3;C;BLR
BOI-C-W3;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.54185022;W3;C;BLR
BOI-C-W3;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;2;0.440528634;W3;C;BLR
BOI-C-W3;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;19;4.185022026;W3;C;BLR
BOI-C-W3;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;1;0.220264317;W3;C;BLR
BOI-C-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.440528634;W3;C;BLR
BOI-C-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.220264317;W3;C;BLR
BOI-D-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;2;0.477326969;W1;D;BLR
BOI-D-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;12;2.863961814;W1;D;BLR
BOI-D-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;15;3.579952267;W1;D;BLR
BOI-D-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;18;4.295942721;W1;D;BLR
BOI-D-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;5;1.193317422;W1;D;BLR
BOI-D-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;326;77.80429594;W1;D;BLR
BOI-D-W1;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.670644391;W1;D;BLR
BOI-D-W1;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;20;4.77326969;W1;D;BLR
BOI-D-W1;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;9;2.14797136;W1;D;BLR
BOI-D-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;1.193317422;W1;D;BLR
BOI-D-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;5;0.711237553;W2;D;BLR
BOI-D-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;14;1.991465149;W2;D;BLR
BOI-D-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;1;0.142247511;W2;D;BLR
BOI-D-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;18;2.560455192;W2;D;BLR
BOI-D-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;27;3.840682788;W2;D;BLR
BOI-D-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;4;0.568990043;W2;D;BLR
BOI-D-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;14;1.991465149;W2;D;BLR
BOI-D-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;6;0.853485064;W2;D;BLR
BOI-D-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;7;0.995732575;W2;D;BLR
BOI-D-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;6;0.853485064;W2;D;BLR
BOI-D-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;559;79.51635846;W2;D;BLR
BOI-D-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;2;0.284495021;W2;D;BLR
BOI-D-W2;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;14;1.991465149;W2;D;BLR
BOI-D-W2;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;20;2.844950213;W2;D;BLR
BOI-D-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;3;0.426742532;W2;D;BLR
BOI-D-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;3;0.426742532;W2;D;BLR
BOI-D-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.726392252;W3;D;BLR
BOI-D-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.210653753;W3;D;BLR
BOI-D-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;9;2.179176755;W3;D;BLR
BOI-D-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;18;4.358353511;W3;D;BLR
BOI-D-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;5;1.210653753;W3;D;BLR
BOI-D-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;7;1.694915254;W3;D;BLR
BOI-D-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;338;81.8401937;W3;D;BLR
BOI-D-W3;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.694915254;W3;D;BLR
BOI-D-W3;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;5;1.210653753;W3;D;BLR
BOI-D-W3;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;8;1.937046005;W3;D;BLR
BOI-D-W3;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;8;1.937046005;W3;D;BLR
BOI-E-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;18;3.33951762523191;W1;E;BLR
BOI-E-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;15;2.78293135435993;W1;E;BLR
BOI-E-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;18;3.33951762523191;W1;E;BLR
BOI-E-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;1;0.185528756957328;W1;E;BLR
BOI-E-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;5;0.927643784786642;W1;E;BLR
BOI-E-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;12;2.22634508348794;W1;E;BLR
BOI-E-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;458;84.9721706864564;W1;E;BLR
BOI-E-W1;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.2987012987013;W1;E;BLR
BOI-E-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;0.927643784786642;W1;E;BLR
BOI-E-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;3;0.715990453460621;W2;E;BLR
BOI-E-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;15;3.5799522673031;W2;E;BLR
BOI-E-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;22;5.25059665871122;W2;E;BLR
BOI-E-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;8;1.90930787589499;W2;E;BLR
BOI-E-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;352;84.0095465393795;W2;E;BLR
BOI-E-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;9;2.14797136038186;W2;E;BLR
BOI-E-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;10;2.38663484486873;W2;E;BLR
BOI-E-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;20;4.72813238770686;W3;E;BLR
BOI-E-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;2;0.472813238770686;W3;E;BLR
BOI-E-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;16;3.78250591016548;W3;E;BLR
BOI-E-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;5;1.18203309692671;W3;E;BLR
BOI-E-W3;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;3;0.709219858156028;W3;E;BLR
BOI-E-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;10;2.36406619385343;W3;E;BLR
BOI-E-W3;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;12;2.83687943262411;W3;E;BLR
BOI-E-W3;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;3;0.709219858156028;W3;E;BLR
BOI-E-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;341;80.6146572104019;W3;E;BLR
BOI-E-W3;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;3;0.709219858156028;W3;E;BLR
BOI-E-W3;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;6;1.41843971631206;W3;E;BLR
BOI-E-W3;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;2;0.472813238770686;W3;E;BLR
BOI-F-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;3;0.614754098360656;W1;F;BLR
BOI-F-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;2;0.409836065573771;W1;F;BLR
BOI-F-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;3;0.614754098360656;W1;F;BLR
BOI-F-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Schroederia;;7;1.4344262295082;W1;F;BLR
BOI-F-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;20;4.0983606557377;W1;F;BLR
BOI-F-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;17;3.48360655737705;W1;F;BLR
BOI-F-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;35;7.17213114754098;W1;F;BLR
BOI-F-W1;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;8;1.63934426229508;W1;F;BLR
BOI-F-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;326;66.8032786885246;W1;F;BLR
BOI-F-W1;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;6;1.22950819672131;W1;F;BLR
BOI-F-W1;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;43;8.81147540983607;W1;F;BLR
BOI-F-W1;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;5;1.02459016393443;W1;F;BLR
BOI-F-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;13;2.66393442622951;W1;F;BLR
BOI-F-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;14;3.44827586206897;W2;F;BLR
BOI-F-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;2;0.492610837438424;W2;F;BLR
BOI-F-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;10;2.46305418719212;W2;F;BLR
BOI-F-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Schroederia;;14;3.44827586206897;W2;F;BLR
BOI-F-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;25;6.1576354679803;W2;F;BLR
BOI-F-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;15;3.69458128078818;W2;F;BLR
BOI-F-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;20;4.92610837438424;W2;F;BLR
BOI-F-W2;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;7;1.72413793103448;W2;F;BLR
BOI-F-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;244;60.0985221674877;W2;F;BLR
BOI-F-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;7;1.72413793103448;W2;F;BLR
BOI-F-W2;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;30;7.38916256157635;W2;F;BLR
BOI-F-W2;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;8;1.97044334975369;W2;F;BLR
BOI-F-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;10;2.46305418719212;W2;F;BLR
BOI-F-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;1.24378109452736;W3;F;BLR
BOI-F-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;5;1.24378109452736;W3;F;BLR
BOI-F-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Schroederia;;5;1.24378109452736;W3;F;BLR
BOI-F-W3;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.98507462686567;W3;F;BLR
BOI-F-W3;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;10;2.48756218905473;W3;F;BLR
BOI-F-W3;Cryptophyta;Cryptophyceae;Cryptomonadales;Chroomonas;;10;2.48756218905473;W3;F;BLR
BOI-F-W3;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonas;;5;1.24378109452736;W3;F;BLR
BOI-F-W3;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;313;77.8606965174129;W3;F;BLR
BOI-F-W3;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;30;7.46268656716418;W3;F;BLR
