sample_code	Chla	lakeID	monthID	year	season	season_year	month_code	column	lake_month	day_number	month_number	lake_season
BLR_H_W3	19.1	BLR	Feb.	2022	winter	winter_2021	H	W3	BLR_H	248	8	BLR_winter_2021
BLR_I_W1	1	BLR	Mar.	2022	spring	spring_2022	I	W1	BLR_I	276	9	BLR_spring_2022
BLR_I_W2	6.8	BLR	Mar.	2022	spring	spring_2022	I	W2	BLR_I	276	9	BLR_spring_2022
BLR_I_W3	NA	BLR	Mar.	2022	spring	spring_2022	I	W3	BLR_I	276	9	BLR_spring_2022
BLR_J_W1	0.9	BLR	Apr.	2022	spring	spring_2022	J	W1	BLR_J	311	10	BLR_spring_2022
BLR_J_W2	6.7	BLR	Apr.	2022	spring	spring_2022	J	W2	BLR_J	311	10	BLR_spring_2022
BLR_J_W3	2.9	BLR	Apr.	2022	spring	spring_2022	J	W3	BLR_J	311	10	BLR_spring_2022
BLR_K_W1	12.4	BLR	May	2022	spring	spring_2022	K	W1	BLR_K	337	11	BLR_spring_2022
BLR_K_W2	13.3	BLR	May	2022	spring	spring_2022	K	W2	BLR_K	337	11	BLR_spring_2022
BLR_K_W3	12.3	BLR	May	2022	spring	spring_2022	K	W3	BLR_K	337	11	BLR_spring_2022
BLR_L_W1	33.7	BLR	Jun.	2022	summer	summer_2022	L	W1	BLR_L	372	12	BLR_summer_2022
BLR_L_W2	31.4	BLR	Jun.	2022	summer	summer_2022	L	W2	BLR_L	372	12	BLR_summer_2022
BLR_L_W3	30.9	BLR	Jun.	2022	summer	summer_2022	L	W3	BLR_L	372	12	BLR_summer_2022
BLR_M_W1	53.8	BLR	Jul.	2022	summer	summer_2022	M	W1	BLR_M	401	13	BLR_summer_2022
BLR_M_W2	42.1	BLR	Jul.	2022	summer	summer_2022	M	W2	BLR_M	401	13	BLR_summer_2022
BLR_M_W3	32.3	BLR	Jul.	2022	summer	summer_2022	M	W3	BLR_M	401	13	BLR_summer_2022
BLR_N_W1	52.5	BLR	Aug.	2022	summer	summer_2022	N	W1	BLR_N	429	14	BLR_summer_2022
BLR_N_W2	63	BLR	Aug.	2022	summer	summer_2022	N	W2	BLR_N	429	14	BLR_summer_2022
BLR_N_W3	46.1	BLR	Aug.	2022	summer	summer_2022	N	W3	BLR_N	429	14	BLR_summer_2022
BLR_O_W1	42.6	BLR	Sep.	2022	fall	fall_2022	O	W1	BLR_O	464	15	BLR_fall_2022
BLR_O_W2	37.5	BLR	Sep.	2022	fall	fall_2022	O	W2	BLR_O	464	15	BLR_fall_2022
BLR_O_W3	42.2	BLR	Sep.	2022	fall	fall_2022	O	W3	BLR_O	464	15	BLR_fall_2022
BLR_P_W1	30.83	BLR	Oct.	2022	fall	fall_2022	P	W1	BLR_P	492	16	BLR_fall_2022
BLR_P_W2	30.5	BLR	Oct.	2022	fall	fall_2022	P	W2	BLR_P	492	16	BLR_fall_2022
BLR_P_W3	27.2	BLR	Oct.	2022	fall	fall_2022	P	W3	BLR_P	492	16	BLR_fall_2022
BLR_Q_W1	15.43	BLR	Nov.	2022	fall	fall_2022	Q	W1	BLR_Q	521	17	BLR_fall_2022
BLR_Q_W2	12.09	BLR	Nov.	2022	fall	fall_2022	Q	W2	BLR_Q	521	17	BLR_fall_2022
BLR_Q_W3	14.83	BLR	Nov.	2022	fall	fall_2022	Q	W3	BLR_Q	521	17	BLR_fall_2022
BLR_R_W1	12.63	BLR	Dec.	2022	winter	winter_2022	R	W1	BLR_R	543	18	BLR_winter_2022
BLR_R_W2	10.44	BLR	Dec.	2022	winter	winter_2022	R	W2	BLR_R	543	18	BLR_winter_2022
BLR_R_W3	12.69	BLR	Dec.	2022	winter	winter_2022	R	W3	BLR_R	543	18	BLR_winter_2022
CSM_A_W1	62.2	CSM	Jun.	2021	summer	summer_2021	A	W1	CSM_A	1	1	CSM_summer_2021
CSM_A_W2	59.8	CSM	Jun.	2021	summer	summer_2021	A	W2	CSM_A	1	1	CSM_summer_2021
CSM_A_W3	51	CSM	Jun.	2021	summer	summer_2021	A	W3	CSM_A	1	1	CSM_summer_2021
CSM_B_W1	86.1	CSM	Jul.	2021	summer	summer_2021	B	W1	CSM_B	30	2	CSM_summer_2021
CSM_B_W2	96.5	CSM	Jul.	2021	summer	summer_2021	B	W2	CSM_B	30	2	CSM_summer_2021
CSM_B_W3	98.9	CSM	Jul.	2021	summer	summer_2021	B	W3	CSM_B	30	2	CSM_summer_2021
CSM_C_W1	97.4	CSM	Aug.	2021	summer	summer_2021	C	W1	CSM_C	65	3	CSM_summer_2021
CSM_C_W2	98.8	CSM	Aug.	2021	summer	summer_2021	C	W2	CSM_C	65	3	CSM_summer_2021
CSM_C_W3	134.4	CSM	Aug.	2021	summer	summer_2021	C	W3	CSM_C	65	3	CSM_summer_2021
CSM_D_W1	104.7	CSM	Sep.	2021	fall	fall_2021	D	W1	CSM_D	100	4	CSM_fall_2021
CSM_D_W2	117.7	CSM	Sep.	2021	fall	fall_2021	D	W2	CSM_D	100	4	CSM_fall_2021
CSM_D_W3	107.5	CSM	Sep.	2021	fall	fall_2021	D	W3	CSM_D	100	4	CSM_fall_2021
CSM_E_W1	5.8	CSM	Oct.	2021	fall	fall_2021	E	W1	CSM_E	128	5	CSM_fall_2021
CSM_E_W2	6.7	CSM	Oct.	2021	fall	fall_2021	E	W2	CSM_E	128	5	CSM_fall_2021
CSM_E_W3	10.3	CSM	Oct.	2021	fall	fall_2021	E	W3	CSM_E	128	5	CSM_fall_2021
CSM_F_W1	2.3	CSM	Nov.	2021	fall	fall_2021	F	W1	CSM_F	157	6	CSM_fall_2021
CSM_F_W2	3.1	CSM	Nov.	2021	fall	fall_2021	F	W2	CSM_F	157	6	CSM_fall_2021
CSM_F_W3	2.8	CSM	Nov.	2021	fall	fall_2021	F	W3	CSM_F	157	6	CSM_fall_2021
CSM_G_W1	7	CSM	Jan.	2022	winter	winter_2021	G	W1	CSM_G	220	7	CSM_winter_2021
CSM_G_W2	8.3	CSM	Jan.	2022	winter	winter_2021	G	W2	CSM_G	220	7	CSM_winter_2021
CSM_G_W3	5.5	CSM	Jan.	2022	winter	winter_2021	G	W3	CSM_G	220	7	CSM_winter_2021
CSM_H_W1	11.2	CSM	Feb.	2022	winter	winter_2021	H	W1	CSM_H	248	8	CSM_winter_2021
CSM_H_W2	22.7	CSM	Feb.	2022	winter	winter_2021	H	W2	CSM_H	248	8	CSM_winter_2021
CSM_H_W3	13.7	CSM	Feb.	2022	winter	winter_2021	H	W3	CSM_H	248	8	CSM_winter_2021
CSM_I_W1	1.4	CSM	Mar.	2022	spring	spring_2022	I	W1	CSM_I	276	9	CSM_spring_2022
CSM_I_W2	2.2	CSM	Mar.	2022	spring	spring_2022	I	W2	CSM_I	276	9	CSM_spring_2022
CSM_I_W3	1.2	CSM	Mar.	2022	spring	spring_2022	I	W3	CSM_I	276	9	CSM_spring_2022
CSM_J_W1	0.6	CSM	Apr.	2022	spring	spring_2022	J	W1	CSM_J	311	10	CSM_spring_2022
CSM_J_W2	2.6	CSM	Apr.	2022	spring	spring_2022	J	W2	CSM_J	311	10	CSM_spring_2022
CSM_J_W3	0.6	CSM	Apr.	2022	spring	spring_2022	J	W3	CSM_J	311	10	CSM_spring_2022
CSM_K_W1	1.9	CSM	May	2022	spring	spring_2022	K	W1	CSM_K	337	11	CSM_spring_2022
CSM_K_W2	2.2	CSM	May	2022	spring	spring_2022	K	W2	CSM_K	337	11	CSM_spring_2022
CSM_K_W3	1.9	CSM	May	2022	spring	spring_2022	K	W3	CSM_K	337	11	CSM_spring_2022
CSM_L_W1	2.2	CSM	Jun.	2022	summer	summer_2022	L	W1	CSM_L	372	12	CSM_summer_2022
CSM_L_W2	2	CSM	Jun.	2022	summer	summer_2022	L	W2	CSM_L	372	12	CSM_summer_2022
CSM_L_W3	1.9	CSM	Jun.	2022	summer	summer_2022	L	W3	CSM_L	372	12	CSM_summer_2022
CSM_M_W1	3	CSM	Jul.	2022	summer	summer_2022	M	W1	CSM_M	401	13	CSM_summer_2022
CSM_M_W2	2.9	CSM	Jul.	2022	summer	summer_2022	M	W2	CSM_M	401	13	CSM_summer_2022
CSM_M_W3	2.3	CSM	Jul.	2022	summer	summer_2022	M	W3	CSM_M	401	13	CSM_summer_2022
CSM_N_W1	18.9	CSM	Aug.	2022	summer	summer_2022	N	W1	CSM_N	429	14	CSM_summer_2022
CSM_N_W2	19	CSM	Aug.	2022	summer	summer_2022	N	W2	CSM_N	429	14	CSM_summer_2022
CSM_N_W3	19.2	CSM	Aug.	2022	summer	summer_2022	N	W3	CSM_N	429	14	CSM_summer_2022
CSM_O_W1	9.7	CSM	Sep.	2022	fall	fall_2022	O	W1	CSM_O	464	15	CSM_fall_2022
CSM_O_W2	10.7	CSM	Sep.	2022	fall	fall_2022	O	W2	CSM_O	464	15	CSM_fall_2022
CSM_O_W3	10.3	CSM	Sep.	2022	fall	fall_2022	O	W3	CSM_O	464	15	CSM_fall_2022
CSM_P_W1	5.91	CSM	Oct.	2022	fall	fall_2022	P	W1	CSM_P	492	16	CSM_fall_2022
CSM_P_W2	6	CSM	Oct.	2022	fall	fall_2022	P	W2	CSM_P	492	16	CSM_fall_2022
CSM_P_W3	4.53	CSM	Oct.	2022	fall	fall_2022	P	W3	CSM_P	492	16	CSM_fall_2022
CSM_Q_W1	3.89	CSM	Nov.	2022	fall	fall_2022	Q	W1	CSM_Q	521	17	CSM_fall_2022
CSM_Q_W2	3.9	CSM	Nov.	2022	fall	fall_2022	Q	W2	CSM_Q	521	17	CSM_fall_2022
CSM_Q_W3	3.87	CSM	Nov.	2022	fall	fall_2022	Q	W3	CSM_Q	521	17	CSM_fall_2022
CSM_R_W1	2.14	CSM	Dec.	2022	winter	winter_2022	R	W1	CSM_R	543	18	CSM_winter_2022
CSM_R_W2	2.04	CSM	Dec.	2022	winter	winter_2022	R	W2	CSM_R	543	18	CSM_winter_2022
CSM_R_W3	2.25	CSM	Dec.	2022	winter	winter_2022	R	W3	CSM_R	543	18	CSM_winter_2022
CER-S_A_W1	13.6	CER-S	Jun.	2021	summer	summer_2021	A	W1	CER-S_A	1	1	CER-S_summer_2021
CER-S_A_W2	11.8	CER-S	Jun.	2021	summer	summer_2021	A	W2	CER-S_A	1	1	CER-S_summer_2021
CER-S_A_W3	12.3	CER-S	Jun.	2021	summer	summer_2021	A	W3	CER-S_A	1	1	CER-S_summer_2021
CER-S_B_W1	6.5	CER-S	Jul.	2021	summer	summer_2021	B	W1	CER-S_B	30	2	CER-S_summer_2021
CER-S_B_W2	6.4	CER-S	Jul.	2021	summer	summer_2021	B	W2	CER-S_B	30	2	CER-S_summer_2021
CER-S_B_W3	6.2	CER-S	Jul.	2021	summer	summer_2021	B	W3	CER-S_B	30	2	CER-S_summer_2021
CER-S_C_W1	10.9	CER-S	Aug.	2021	summer	summer_2021	C	W1	CER-S_C	65	3	CER-S_summer_2021
CER-S_C_W2	12.3	CER-S	Aug.	2021	summer	summer_2021	C	W2	CER-S_C	65	3	CER-S_summer_2021
CER-S_C_W3	11.4	CER-S	Aug.	2021	summer	summer_2021	C	W3	CER-S_C	65	3	CER-S_summer_2021
CER-S_D_W1	5	CER-S	Sep.	2021	fall	fall_2021	D	W1	CER-S_D	100	4	CER-S_fall_2021
CER-S_D_W2	4	CER-S	Sep.	2021	fall	fall_2021	D	W2	CER-S_D	100	4	CER-S_fall_2021
CER-S_D_W3	5.8	CER-S	Sep.	2021	fall	fall_2021	D	W3	CER-S_D	100	4	CER-S_fall_2021
CER-S_E_W1	7.2	CER-S	Oct.	2021	fall	fall_2021	E	W1	CER-S_E	128	5	CER-S_fall_2021
CER-S_E_W2	6	CER-S	Oct.	2021	fall	fall_2021	E	W2	CER-S_E	128	5	CER-S_fall_2021
CER-S_E_W3	6.3	CER-S	Oct.	2021	fall	fall_2021	E	W3	CER-S_E	128	5	CER-S_fall_2021
CER-S_F_W1	5.4	CER-S	Nov.	2021	fall	fall_2021	F	W1	CER-S_F	157	6	CER-S_fall_2021
CER-S_F_W2	5.7	CER-S	Nov.	2021	fall	fall_2021	F	W2	CER-S_F	157	6	CER-S_fall_2021
CER-S_F_W3	6	CER-S	Nov.	2021	fall	fall_2021	F	W3	CER-S_F	157	6	CER-S_fall_2021
CER-S_G_W1	7.7	CER-S	Jan.	2022	winter	winter_2021	G	W1	CER-S_G	220	7	CER-S_winter_2021
CER-S_G_W2	8	CER-S	Jan.	2022	winter	winter_2021	G	W2	CER-S_G	220	7	CER-S_winter_2021
CER-S_G_W3	6.4	CER-S	Jan.	2022	winter	winter_2021	G	W3	CER-S_G	220	7	CER-S_winter_2021
CER-S_H_W1	3.9	CER-S	Feb.	2022	winter	winter_2021	H	W1	CER-S_H	248	8	CER-S_winter_2021
CER-S_H_W2	5.5	CER-S	Feb.	2022	winter	winter_2021	H	W2	CER-S_H	248	8	CER-S_winter_2021
CER-S_H_W3	3.6	CER-S	Feb.	2022	winter	winter_2021	H	W3	CER-S_H	248	8	CER-S_winter_2021
CER-S_I_W1	0.8	CER-S	Mar.	2022	spring	spring_2022	I	W1	CER-S_I	276	9	CER-S_spring_2022
CER-S_I_W2	4.3	CER-S	Mar.	2022	spring	spring_2022	I	W2	CER-S_I	276	9	CER-S_spring_2022
CER-S_I_W3	1.7	CER-S	Mar.	2022	spring	spring_2022	I	W3	CER-S_I	276	9	CER-S_spring_2022
CER-S_J_W1	3.3	CER-S	Apr.	2022	spring	spring_2022	J	W1	CER-S_J	311	10	CER-S_spring_2022
CER-S_J_W2	1.2	CER-S	Apr.	2022	spring	spring_2022	J	W2	CER-S_J	311	10	CER-S_spring_2022
CER-S_J_W3	0.2	CER-S	Apr.	2022	spring	spring_2022	J	W3	CER-S_J	311	10	CER-S_spring_2022
CER-S_K_W1	16.1	CER-S	May	2022	spring	spring_2022	K	W1	CER-S_K	337	11	CER-S_spring_2022
CER-S_K_W2	14.8	CER-S	May	2022	spring	spring_2022	K	W2	CER-S_K	337	11	CER-S_spring_2022
CER-S_K_W3	13.2	CER-S	May	2022	spring	spring_2022	K	W3	CER-S_K	337	11	CER-S_spring_2022
CER-S_L_W1	5.9	CER-S	Jun.	2022	summer	summer_2022	L	W1	CER-S_L	372	12	CER-S_summer_2022
CER-S_L_W2	7.5	CER-S	Jun.	2022	summer	summer_2022	L	W2	CER-S_L	372	12	CER-S_summer_2022
CER-S_L_W3	6.2	CER-S	Jun.	2022	summer	summer_2022	L	W3	CER-S_L	372	12	CER-S_summer_2022
CER-S_M_W1	14.6	CER-S	Jul.	2022	summer	summer_2022	M	W1	CER-S_M	401	13	CER-S_summer_2022
CER-S_M_W2	16.7	CER-S	Jul.	2022	summer	summer_2022	M	W2	CER-S_M	401	13	CER-S_summer_2022
CER-S_M_W3	11.6	CER-S	Jul.	2022	summer	summer_2022	M	W3	CER-S_M	401	13	CER-S_summer_2022
CER-S_N_W1	21.6	CER-S	Aug.	2022	summer	summer_2022	N	W1	CER-S_N	429	14	CER-S_summer_2022
CER-S_N_W2	15.3	CER-S	Aug.	2022	summer	summer_2022	N	W2	CER-S_N	429	14	CER-S_summer_2022
CER-S_N_W3	12.5	CER-S	Aug.	2022	summer	summer_2022	N	W3	CER-S_N	429	14	CER-S_summer_2022
CER-S_O_W1	14.7	CER-S	Sep.	2022	fall	fall_2022	O	W1	CER-S_O	464	15	CER-S_fall_2022
CER-S_O_W2	12.4	CER-S	Sep.	2022	fall	fall_2022	O	W2	CER-S_O	464	15	CER-S_fall_2022
CER-S_O_W3	16.5	CER-S	Sep.	2022	fall	fall_2022	O	W3	CER-S_O	464	15	CER-S_fall_2022
CER-S_P_W1	16.18	CER-S	Oct.	2022	fall	fall_2022	P	W1	CER-S_P	492	16	CER-S_fall_2022
CER-S_P_W2	11.45	CER-S	Oct.	2022	fall	fall_2022	P	W2	CER-S_P	492	16	CER-S_fall_2022
CER-S_P_W3	11.45	CER-S	Oct.	2022	fall	fall_2022	P	W3	CER-S_P	492	16	CER-S_fall_2022
CER-S_Q_W1	14.79	CER-S	Nov.	2022	fall	fall_2022	Q	W1	CER-S_Q	521	17	CER-S_fall_2022
CER-S_Q_W2	12.28	CER-S	Nov.	2022	fall	fall_2022	Q	W2	CER-S_Q	521	17	CER-S_fall_2022
CER-S_Q_W3	10.7	CER-S	Nov.	2022	fall	fall_2022	Q	W3	CER-S_Q	521	17	CER-S_fall_2022
CER-S_R_W1	8.91	CER-S	Dec.	2022	winter	winter_2022	R	W1	CER-S_R	543	18	CER-S_winter_2022
CER-S_R_W2	14.09	CER-S	Dec.	2022	winter	winter_2022	R	W2	CER-S_R	543	18	CER-S_winter_2022
CER-S_R_W3	15.7	CER-S	Dec.	2022	winter	winter_2022	R	W3	CER-S_R	543	18	CER-S_winter_2022
CRE_A_W1	2.7	CRE	Jun.	2021	summer	summer_2021	A	W1	CRE_A	1	1	CRE_summer_2021
CRE_A_W2	5.5	CRE	Jun.	2021	summer	summer_2021	A	W2	CRE_A	1	1	CRE_summer_2021
CRE_A_W3	3.6	CRE	Jun.	2021	summer	summer_2021	A	W3	CRE_A	1	1	CRE_summer_2021
CRE_B_W1	16.2	CRE	Jul.	2021	summer	summer_2021	B	W1	CRE_B	30	2	CRE_summer_2021
CRE_B_W2	16.7	CRE	Jul.	2021	summer	summer_2021	B	W2	CRE_B	30	2	CRE_summer_2021
CRE_B_W3	15.3	CRE	Jul.	2021	summer	summer_2021	B	W3	CRE_B	30	2	CRE_summer_2021
CRE_C_W1	21.8	CRE	Aug.	2021	summer	summer_2021	C	W1	CRE_C	65	3	CRE_summer_2021
CRE_C_W2	23.9	CRE	Aug.	2021	summer	summer_2021	C	W2	CRE_C	65	3	CRE_summer_2021
CRE_C_W3	24.4	CRE	Aug.	2021	summer	summer_2021	C	W3	CRE_C	65	3	CRE_summer_2021
CRE_D_W1	19.2	CRE	Sep.	2021	fall	fall_2021	D	W1	CRE_D	100	4	CRE_fall_2021
CRE_D_W2	21.6	CRE	Sep.	2021	fall	fall_2021	D	W2	CRE_D	100	4	CRE_fall_2021
CRE_D_W3	19.7	CRE	Sep.	2021	fall	fall_2021	D	W3	CRE_D	100	4	CRE_fall_2021
CRE_E_W1	27.1	CRE	Oct.	2021	fall	fall_2021	E	W1	CRE_E	128	5	CRE_fall_2021
CRE_E_W2	28.3	CRE	Oct.	2021	fall	fall_2021	E	W2	CRE_E	128	5	CRE_fall_2021
CRE_E_W3	9	CRE	Oct.	2021	fall	fall_2021	E	W3	CRE_E	128	5	CRE_fall_2021
CRE_F_W1	6.5	CRE	Nov.	2021	fall	fall_2021	F	W1	CRE_F	157	6	CRE_fall_2021
CRE_F_W2	6.1	CRE	Nov.	2021	fall	fall_2021	F	W2	CRE_F	157	6	CRE_fall_2021
CRE_F_W3	5.7	CRE	Nov.	2021	fall	fall_2021	F	W3	CRE_F	157	6	CRE_fall_2021
CRE_G_W1	11.6	CRE	Jan.	2022	winter	winter_2021	G	W1	CRE_G	220	7	CRE_winter_2021
CRE_G_W2	11.1	CRE	Jan.	2022	winter	winter_2021	G	W2	CRE_G	220	7	CRE_winter_2021
CRE_G_W3	9.8	CRE	Jan.	2022	winter	winter_2021	G	W3	CRE_G	220	7	CRE_winter_2021
CRE_H_W1	8.2	CRE	Feb.	2022	winter	winter_2021	H	W1	CRE_H	248	8	CRE_winter_2021
CRE_H_W2	14.6	CRE	Feb.	2022	winter	winter_2021	H	W2	CRE_H	248	8	CRE_winter_2021
CRE_H_W3	7.6	CRE	Feb.	2022	winter	winter_2021	H	W3	CRE_H	248	8	CRE_winter_2021
CRE_I_W1	6	CRE	Mar.	2022	spring	spring_2022	I	W1	CRE_I	276	9	CRE_spring_2022
CRE_I_W2	5.4	CRE	Mar.	2022	spring	spring_2022	I	W2	CRE_I	276	9	CRE_spring_2022
CRE_I_W3	5.3	CRE	Mar.	2022	spring	spring_2022	I	W3	CRE_I	276	9	CRE_spring_2022
CRE_J_W1	3.5	CRE	Apr.	2022	spring	spring_2022	J	W1	CRE_J	311	10	CRE_spring_2022
CRE_J_W2	5.3	CRE	Apr.	2022	spring	spring_2022	J	W2	CRE_J	311	10	CRE_spring_2022
CRE_J_W3	3	CRE	Apr.	2022	spring	spring_2022	J	W3	CRE_J	311	10	CRE_spring_2022
CRE_K_W1	7.9	CRE	May	2022	spring	spring_2022	K	W1	CRE_K	337	11	CRE_spring_2022
CRE_K_W2	6.9	CRE	May	2022	spring	spring_2022	K	W2	CRE_K	337	11	CRE_spring_2022
CRE_K_W3	7.9	CRE	May	2022	spring	spring_2022	K	W3	CRE_K	337	11	CRE_spring_2022
CRE_L_W1	19	CRE	Jun.	2022	summer	summer_2022	L	W1	CRE_L	372	12	CRE_summer_2022
CRE_L_W2	18.6	CRE	Jun.	2022	summer	summer_2022	L	W2	CRE_L	372	12	CRE_summer_2022
CRE_L_W3	18	CRE	Jun.	2022	summer	summer_2022	L	W3	CRE_L	372	12	CRE_summer_2022
CRE_M_W1	16	CRE	Jul.	2022	summer	summer_2022	M	W1	CRE_M	401	13	CRE_summer_2022
CRE_M_W2	20.6	CRE	Jul.	2022	summer	summer_2022	M	W2	CRE_M	401	13	CRE_summer_2022
CRE_M_W3	16	CRE	Jul.	2022	summer	summer_2022	M	W3	CRE_M	401	13	CRE_summer_2022
CRE_N_W1	18.7	CRE	Aug.	2022	summer	summer_2022	N	W1	CRE_N	429	14	CRE_summer_2022
CRE_N_W2	20.4	CRE	Aug.	2022	summer	summer_2022	N	W2	CRE_N	429	14	CRE_summer_2022
CRE_N_W3	21.4	CRE	Aug.	2022	summer	summer_2022	N	W3	CRE_N	429	14	CRE_summer_2022
CRE_O_W1	5	CRE	Sep.	2022	fall	fall_2022	O	W1	CRE_O	464	15	CRE_fall_2022
CRE_O_W2	26.9	CRE	Sep.	2022	fall	fall_2022	O	W2	CRE_O	464	15	CRE_fall_2022
CRE_O_W3	32.7	CRE	Sep.	2022	fall	fall_2022	O	W3	CRE_O	464	15	CRE_fall_2022
CRE_P_W1	86.96	CRE	Oct.	2022	fall	fall_2022	P	W1	CRE_P	492	16	CRE_fall_2022
CRE_P_W2	85.02	CRE	Oct.	2022	fall	fall_2022	P	W2	CRE_P	492	16	CRE_fall_2022
CRE_P_W3	94.28	CRE	Oct.	2022	fall	fall_2022	P	W3	CRE_P	492	16	CRE_fall_2022
CRE_Q_W1	9.53	CRE	Nov.	2022	fall	fall_2022	Q	W1	CRE_Q	521	17	CRE_fall_2022
CRE_Q_W2	9.5	CRE	Nov.	2022	fall	fall_2022	Q	W2	CRE_Q	521	17	CRE_fall_2022
CRE_Q_W3	8.24	CRE	Nov.	2022	fall	fall_2022	Q	W3	CRE_Q	521	17	CRE_fall_2022
CRE_R_W1	1.39	CRE	Dec.	2022	winter	winter_2022	R	W1	CRE_R	543	18	CRE_winter_2022
CRE_R_W2	1.36	CRE	Dec.	2022	winter	winter_2022	R	W2	CRE_R	543	18	CRE_winter_2022
CRE_R_W3	1.54	CRE	Dec.	2022	winter	winter_2022	R	W3	CRE_R	543	18	CRE_winter_2022
LGP_A_W1	13.9	LGP	Jun.	2021	summer	summer_2021	A	W1	LGP_A	1	1	LGP_summer_2021
LGP_A_W2	9.9	LGP	Jun.	2021	summer	summer_2021	A	W2	LGP_A	1	1	LGP_summer_2021
LGP_A_W3	23.1	LGP	Jun.	2021	summer	summer_2021	A	W3	LGP_A	1	1	LGP_summer_2021
LGP_B_W1	41.6	LGP	Jul.	2021	summer	summer_2021	B	W1	LGP_B	30	2	LGP_summer_2021
LGP_B_W2	38.1	LGP	Jul.	2021	summer	summer_2021	B	W2	LGP_B	30	2	LGP_summer_2021
LGP_B_W3	46	LGP	Jul.	2021	summer	summer_2021	B	W3	LGP_B	30	2	LGP_summer_2021
LGP_C_W1	51.3	LGP	Aug.	2021	summer	summer_2021	C	W1	LGP_C	65	3	LGP_summer_2021
LGP_C_W2	54.3	LGP	Aug.	2021	summer	summer_2021	C	W2	LGP_C	65	3	LGP_summer_2021
LGP_C_W3	49	LGP	Aug.	2021	summer	summer_2021	C	W3	LGP_C	65	3	LGP_summer_2021
LGP_D_W1	55.7	LGP	Sep.	2021	fall	fall_2021	D	W1	LGP_D	100	4	LGP_fall_2021
LGP_D_W2	54.9	LGP	Sep.	2021	fall	fall_2021	D	W2	LGP_D	100	4	LGP_fall_2021
LGP_D_W3	54.2	LGP	Sep.	2021	fall	fall_2021	D	W3	LGP_D	100	4	LGP_fall_2021
LGP_E_W1	62.7	LGP	Oct.	2021	fall	fall_2021	E	W1	LGP_E	128	5	LGP_fall_2021
LGP_E_W2	61.3	LGP	Oct.	2021	fall	fall_2021	E	W2	LGP_E	128	5	LGP_fall_2021
LGP_E_W3	76.3	LGP	Oct.	2021	fall	fall_2021	E	W3	LGP_E	128	5	LGP_fall_2021
LGP_F_W1	38.1	LGP	Nov.	2021	fall	fall_2021	F	W1	LGP_F	157	6	LGP_fall_2021
