lakeID;month_code;month_number;lake_month_number;Chla_median;delta_Chla
VSM;K;11;VSM_11;1.8;25.9
VSM;L;12;VSM_12;1.7;27.6
VSM;M;13;VSM_13;2;29.6
VSM;N;14;VSM_14;7.1;36.7
VSM;O;15;VSM_15;4.25;40.95
VSM;P;16;VSM_16;2.4;43.35
VSM;Q;17;VSM_17;2.7;46.05
VSM;R;18;VSM_18;2.64;48.69
VSS;B;2;VSS_2;36.7;0
VSS;C;3;VSS_3;279.5;279.5
VSS;D;4;VSS_4;70.4;349.9
VSS;E;5;VSS_5;4.5;354.4
VSS;F;6;VSS_6;4.5;358.9
VSS;G;7;VSS_7;10.9;369.8
VSS;H;8;VSS_8;18.8;388.6
VSS;I;9;VSS_9;42.5;431.1
VSS;J;10;VSS_10;6.7;437.8
VSS;K;11;VSS_11;15;452.8
VSS;L;12;VSS_12;13.7;466.5
VSS;M;13;VSS_13;81.8;548.3
VSS;N;14;VSS_14;231.8;780.1
VSS;O;15;VSS_15;77.8;857.9
VSS;P;16;VSS_16;7.13;865.03
VSS;Q;17;VSS_17;39.18;904.21
VSS;R;18;VSS_18;25.92;930.13
